ID;sentence;control
43;Bullock's complete lack of focus and ability quickly derails the film.1;


44;... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!;CONTROL


45;Crush could be the worst film a man has made about women since Valley of the Dolls.;


46;Reassuring, retro uplifter.;


47;Flaccid drama and exasperatingly slow journey.;


48;The Movie will reach far beyond its core demographic.;


49;How did it ever get made?;


50;I like the new footage and still love the old stuff.;


51;It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.;


52;Could The Country Bears really be as bad as its trailers?;


53;At times, the movie looks genuinely pretty.;


54;It depends on how well flatulence gags fit into your holiday concept.;


55;The stupidest, most insulting movie of 2002's first quarter.;CONTROL


56;The film seems a dead weight.;


57;Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.;


58;I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.;


59;A lousy movie that's not merely unwatchable, but also unlistenable.;


60;One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.;


61;A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.;CONTROL


62;But here's the real damn: It isn't funny, either.;


63;Qutting may be a flawed film, but it is nothing if not sincere.;


64;It's a fanboy `what if?';


65;... something appears to have been lost in the translation this time.;


66;Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.;


67;Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.;


68;It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.;


69;An intriguing and entertaining introduction to Johnson.;


70;Everything was as superficial as the forced New Jersey lowbrow accent Uma had.;


71;Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...;


72;`How many more voyages can this limping but dearly-loved franchise survive?';


73;If only the story about a multi-million dollar con bothered to include the con.;


74;It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.;CONTROL


75;Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry.;


76;Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.;


77;Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.;


78;A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.;


79;It has fun with the quirks of family life, but it also treats the subject with fondness and respect.;


80;Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.;


81;Since Lee is a sentimentalist, the film is more worshipful than your random E!;


82;The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.;


83;High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.;


84;But it's too long and too convoluted and it ends in a muddle.;CONTROL


85;This thing works on no level whatsoever for me.;


86;... a bland murder-on-campus yawner.;


87;"In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.";


88;One of the finest, most humane and important Holocaust movies ever made.;


89;Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.;


90;The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.;


91;Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.;


92;Features one of the most affecting depictions of a love affair ever committed to film.;


93;It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.;


94;Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...;CONTROL


95;... a solid, well-formed satire.;


96;Deserves high marks for political courage but barely gets by on its artistic merits.;


97;Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.;


98;... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.;


99;Reeks of rot and hack work from start to finish.;


100;Just how these families interact may surprise you.;


101;The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.;


102;Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.;


103;Creepy, authentic and dark.;


104;A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.;


105;Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.;


106;The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.;


107;At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood.;


108;At 78 minutes it just zings along with vibrance and warmth.;


109;Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.;CONTROL


110;As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.;


111;Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.;


112;What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.;


113;Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.;


114;Just about the best straight-up, old-school horror film of the last 15 years.;


115;Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.;


116;I thought the relationships were wonderful, the comedy was funny, and the love `real'.;


117;Better at putting you to sleep than a sound machine.;


118;Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.;


119;Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.;


120;Ultimate X is a ride, basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine.;


121;Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.;


122;Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.;


123;That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.;


124;Some elements of it really blow the big one, but other parts are decent.;


125;No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.;


126;I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism.;


127;The simplicity of The Way Home has few equals this side of Aesop.;


128;Exceptionally well acted by Diane Lane and Richard Gere.;CONTROL


129;Dong shows how intolerance has the power to deform families, then tear them apart.;


130;A stupid, derivative horror film that substitutes extreme gore for suspense.;CONTROL


131;It's a great American adventure and a wonderful film to bring to IMAX.;


132;It's 51 times better than this.;


133;It's like an old Warner Bros. costumer jived with sex -- this could be the movie Errol Flynn always wanted to make, though Bette Davis, cast as Joan, would have killed him.;


134;A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.;CONTROL


135;A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries.;


136;It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.;


137;Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.;


138;Thanks to a small star with big heart, this family film sequel is plenty of fun for all.;


139;And I've decided to leave a light on every night from now on.;


140;Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you.;


141;under-rehearsed and lifeless;CONTROL


142;Exactly what you'd expect from a guy named Kaos.;


143;If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles.;CONTROL


144;For those for whom the name Woody Allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, Hollywood Ending is a depressing experience.;


145;Bella is the picture of health with boundless energy until a few days before she dies.;


146;The fun of the movie is the chance it affords to watch Jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad.;


147;What should have been a cutting Hollywood satire is instead about as fresh as last week's issue of Variety.;


148;Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.;


149;Aaliyah rarely dampens her diva persona enough to spark genuine chemistry with Townsend.;


150;Mr. Soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious.;


151;Mazel tov to a film about a family's joyous life acting on the Yiddish stage.;


152;... would be a total loss if not for two supporting performances taking place at the movie's edges.;


153;An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.;


154;Loud, chaotic and largely unfunny.;


155;The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D.;


156;It's everything you don't go to the movies for.;


157;Harris is supposed to be the star of the story, but comes across as pretty dull and wooden.;


158;Allen's funniest and most likeable movie in years.;CONTROL


159;For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.;


160;There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity, even in the family film market.;


161;There are plot holes big enough for Shamu the killer whale to swim through.;


162;... always remains movingly genuine.;CONTROL


163;Stitch is a bad mannered, ugly and destructive little ****.;


164;The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.;


165;Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.;


166;This is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.;


167;Like life on the island, the movie grows boring despite the scenery.;CONTROL


168;It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.;


169;An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding.;


170;Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser.;


171;Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.;


172;The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them.;


173;The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.;


174;A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing.;


175;Attal pushes too hard to make this a comedy or serious drama.;


176;Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries.;


177;A small movie with a big impact.;CONTROL


178;This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.;


179;Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic.;


180;Hey Arnold! is now stretched to barely feature length, with a little more attention paid to the animation.;


181;After that, it just gets stupid and maudlin.;


182;The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.;CONTROL


183;Plods along, minus the twisted humor and eye-popping visuals that have made Miike... a cult hero.;


184;Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was.;


185;For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.;


186;It's badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school.;


187;The sort of picture in which, whenever one of the characters has some serious soul searching to do, they go to a picture-perfect beach during sunset.;


188;Despite its raucous intent, XXX is as conventional as a Nike ad and as rebellious as spring break.;


189;... a roller-coaster ride of a movie;CONTROL


190;A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded.;CONTROL


191;Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling.;


192;"Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.";


193;After that it becomes long and tedious like a classroom play in a college history course.;CONTROL


194;This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.;


195;Blade II has a brilliant director and charismatic star, but it suffers from rampant vampire devaluation.;


196;A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.;CONTROL


197;For VeggieTales fans, this is more appetizing than a side dish of asparagus.;


198;While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.;


199;A truly wonderful tale combined with stunning animation.;CONTROL


200;Nothing sticks, really, except a lingering creepiness one feels from being dragged through a sad, sordid universe of guns, drugs, avarice and damaged dreams.;


201;``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality.;


202;It's a hoot watching The Rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire!;


203;While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.;


204;A portrait of an artist.;


205;As written by Michael Berg and Michael J. Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all.;


206;It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.;


207;This is one of the biggest disappointments of the year.;CONTROL


208;It never fails to engage us.;


209;Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural, sexual and social discord.;


210;The movie slides downhill as soon as macho action conventions assert themselves.;


211;More romantic, more emotional and ultimately more satisfying than the teary-eyed original.;


212;Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.;


213;The cumulative effect of the movie is repulsive and depressing.;


214;Feels like nothing quite so much as a middle-aged moviemaker's attempt to surround himself with beautiful, half-naked women.;


215;A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.;


216;In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.;


217;I'm not sure which will take longer to heal: the welt on Johnny Knoxville's stomach from a riot-control projectile or my own tortured psyche.;


218;While Serving Sara does have a long way to go before it reaches the level of crudity in the latest Austin Powers extravaganza, there's nothing here to match that movie's intermittent moments of inspiration.;


219;It's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing, let alone funny.;


220;It never is, not fully.;


221;Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.;CONTROL


222;It should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit.;


223;With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here.;


224;It's a funny little movie with clever dialogue and likeable characters.;


225;``13 Conversations'' holds its goodwill close, but is relatively slow to come to the point.;


226;Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.;


227;You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.;


228;The movie is virtually without context -- journalistic or historical.;


229;After sitting through this sloppy, made-for-movie comedy special, it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work.;


230;Genuinely touching because it's realistic about all kinds of love.;


231;For all the complications, it's all surprisingly predictable.;


232;Armed with a game supporting cast, from the pitch-perfect Forster to the always hilarious Meara and Levy, Like Mike shoots and scores, doing its namesake proud.;


233;It will guarantee to have you leaving the theater with a smile on your face.;CONTROL


234;The misery of these people becomes just another voyeuristic spectacle, to be consumed and forgotten.;


235;A thoroughly awful movie -- dumb, narratively chaotic, visually sloppy... a weird amalgam of `The Thing' and a geriatric `Scream.';


236;One of those staggeringly well-produced, joylessly extravagant pictures that keep whooshing you from one visual marvel to the next, hastily, emptily.;


237;Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs, Red Dragon rates as an exceptional thriller.;


238;The movie has no respect for laws, political correctness or common decency, but it displays something more important: respect for its flawed, crazy people.;


239;In a strange way, Egoyan has done too much.;


240;After seeing the film, I can tell you that there's no other reason why anyone should bother remembering it.;


241;The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work.;


242;In some ways, Lagaan is quintessential Bollywood.;


243;Pacino and Williams seem to keep upping the ante on each other, just as their characters do in the film.;


244;It would be disingenuous to call Reno a great film, but you can say that about most of the flicks moving in and out of the multiplex.;


245;Some movies can get by without being funny simply by structuring the scenes as if they were jokes: a setup, delivery and payoff.;


246;Narc can only remind us of brilliant crime dramas without becoming one itself.;


247;Narc is a no-bull throwback to 1970s action films.;


248;Intriguing and downright intoxicating.;


249;The wonderful combination of the sweetness and the extraordinary technical accomplishments of the first film are maintained, but its overall impact falls a little flat with a storyline that never quite delivers the original magic.;


250;Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.;


251;In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded.;


252;The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.;


253;At its worst, it implodes in a series of very bad special effects.;


254;Bad and baffling from the get-go.;


255;The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.;


256;The original wasn't a good movie but this remake makes it look like a masterpiece!;


257;To my taste, the film's comic characters come perilously close to being Amoses and Andys for a new generation.;


258;Although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks.;


259;The real charm of this trifle is the deadpan comic face of its star, Jean Reno, who resembles Sly Stallone in a hot sake half-sleep.;


260;... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.;


261;This method almost never fails him, and it works superbly here.;


262;Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.;


263;Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a**holes.;


264;The Emperor's Club is one of those films that possesses all the good intentions in the world, but...;


265;The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism.;


266;LaBute can't avoid a fatal mistake in the modern era: He's changed the male academic from a lower-class Brit to an American, a choice that upsets the novel's exquisite balance and shreds the fabric of the film.;


267;A biopic about Crane's life in the classic tradition but evolves into what has become of us all in the era of video.;


268;A work of extraordinary journalism, but it is also a work of deft and subtle poetry.;CONTROL


269;... think of it as American Pie On Valium.;


270;Gere gives a good performance in a film that doesn't merit it.;


271;"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.";CONTROL


272;The Pianist is Polanski's best film.;CONTROL


273;Maybe Thomas Wolfe was right: You can't go home again.;


274;The director, with his fake backdrops and stately pacing, never settles on a consistent tone.;


275;Why he was given free reign over this project -- he wrote, directed, starred and produced -- is beyond me.;


276;If you enjoy being rewarded by a script that assumes you aren't very bright, then Blood Work is for you.;


277;Like Rudy Yellow Lodge, Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider.;


278;But his showboating wise-cracker stock persona sure is getting old.;


279;Circuit queens won't learn a thing, they'll be too busy cursing the film's strategically placed white sheets.;


280;A lot of talent is wasted in this crass, low-wattage endeavor.;CONTROL


281;Alain Choquart's camera barely stops moving, portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency, which, for a film that takes nearly three hours to unspool, is both funny and irritating.;


282;The second coming of Harry Potter is a film far superior to its predecessor.;


283;This stuck pig of a movie flails limply between bizarre comedy and pallid horror.;


284;The film just might turn on many people to opera, in general, an art form at once visceral and spiritual, wonderfully vulgar and sublimely lofty -- and as emotionally grand as life.;


285;The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.;


286;The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power, as if they were tales that had been handed down since the beginning of time.;


287;Even more baffling is that it's funny.;


288;Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.;


289;Hard, endearing, caring, warm.;


290;I have no problem with ``difficult'' movies, or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out.;


291;The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining.;


292;Both the crime story and the love story are unusual.;


293;It's never a good sign when a film's star spends the entirety of the film in a coma.;CONTROL


294;A creaky staircase gothic.;


295;If there's a way to effectively teach kids about the dangers of drugs, I think it's in projects like the (unfortunately R-rated) Paid.;


296;If you're a WWF fan, or you related to the people who watched the robots getting butchered in A.I., you'll probably like Rollerball.;


297;Norton holds the film together.;


298;A breathtaking adventure for all ages, Spirit tells its poignant and uplifting story in a stunning fusion of music and images.;


299;It won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.;


300;Largely a for-fans artifact.;


301;A movie so bad that it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls.;


302;If you're over 25, have an IQ over 90, and have a driver's license, you should be able to find better entertainment.;


303;A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy.;


304;The doofus-on-the-loose banter of Welcome to Collinwood has a cocky, after-hours loopiness to it.;


305;It's the funniest American comedy since Graffiti Bridge.;


306;Samuel Beckett applied to the Iranian voting process.;


307;A strangely compelling and brilliantly acted psychological drama.;


308;Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie.;


309;This enthralling documentary... is at once playful and haunting, an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends.;


310;I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.;


311;At its best when the guarded, resentful Betty and the manipulative yet needy Margot are front and center.;


312;Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.;


313;That is essentially what's missing from Blackboards -- the sense of something bigger, some ultimate point.;


314;It's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script, unimpressive acting and indifferent direction.;


315;While obviously an extremely personal work, it remains inextricably stuck in an emotionally unavailable rut.;


316;A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter is entertainment opportunism at its most glaring.;


317;The good is very, very good... The rest runs from mildly unimpressive to despairingly awful.;


318;Methodical, measured, and gently tedious in its comedy, Secret Ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain.;


319;One of the most exciting action films to come out of China in recent years.;


320;Adam Sandler's Eight Crazy Nights grows on you -- like a rash.;


321;The film feels formulaic, its plot and pacing typical Hollywood war-movie stuff, while the performances elicit more of a sense of deja vu than awe.;


322;... pitiful, slapdash disaster.;


323;As it stands, there's some fine sex onscreen, and some tense arguing, but not a whole lot more.;


324;It's neither as romantic nor as thrilling as it should be.;CONTROL


325;Returning director Rob Minkoff... and screenwriter Bruce Joel Rubin... have done a fine job of updating White's dry wit to a new age.;


326;The Venezuelans say things like ``si, pretty much'' and ``por favor, go home'' when talking to Americans.;


327;If you already like this sort of thing, this is that sort of thing all over again.;


328;An awful movie that will only satisfy the most emotionally malleable of filmgoers.;


329;This is an extraordinary film, not least because it is Japanese and yet feels universal.;


330;Aptly named, this shimmering, beautifully costumed and filmed production doesn't work for me.;


331;If Borstal Boy isn't especially realistic, it is an engaging nostalgia piece.;


332;Griffiths proves she's that rare luminary who continually raises the standard of her profession.;


333;The asylum material is gripping, as are the scenes of Jia with his family.;


334;... by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over.;


